City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,qoryooley,1.7878,44.53,28.09,57,93,9.93,SO,1721395396
299,san javier,37.8063,-0.8374,36.69,59,0,4.63,ES,1721395348
300,farasan,16.7022,42.1183,32.2,70,74,5.28,SA,1721395397
301,sao miguel do tapuio,-5.5036,-41.3233,30.48,38,14,4.7,BR,1721395397
302,port saint john's,-31.6229,29.5448,20.76,50,0,4.16,ZA,1721395397
303,najran,17.4924,44.1277,37.36,20,100,0.72,SA,1721395397
304,hotan,37.0997,79.9269,32.87,18,23,1.43,CN,1721395397
305,mount isa,-20.7333,139.5,2.87,56,0,0.0,AU,1721395397
306,kuala belait,4.5833,114.1833,27.09,89,54,3.33,BN,1721395398
307,tabas,33.5959,56.9244,42.12,12,0,4.12,IR,1721395398
308,astrakhan,46.3497,48.0408,37.93,19,0,5.0,RU,1721395398
309,verkhneural'sk,53.8769,59.2106,20.5,73,100,2.25,RU,1721395398
310,oranjemund,-28.55,16.4333,16.03,68,0,5.0,NA,1721395399
311,saudarkrokur,65.7461,-19.6394,14.47,57,31,3.22,IS,1721395399
312,giyani,-23.3025,30.7187,31.6,11,0,3.32,ZA,1721395399
313,castillos,-34.1667,-53.8333,12.34,83,95,1.93,UY,1721395399
314,kodinsk,58.6881,99.1844,22.86,70,100,1.62,RU,1721395399
315,togur,58.3631,82.8265,23.47,83,95,0.31,RU,1721395400
316,enoch,37.7733,-113.0244,19.71,59,0,2.06,US,1721395400
317,guanare,9.0418,-69.7421,23.88,90,75,0.73,VE,1721395400
318,la ronge,55.1001,-105.2842,18.14,88,100,0.0,CA,1721395400
319,daigo,36.7667,140.35,22.28,91,100,0.84,JP,1721395400
320,hadibu,12.65,54.0333,27.48,69,53,11.17,YE,1721395401
321,djibo,14.1022,-1.6306,35.13,43,0,5.09,BF,1721395401
322,naze,28.3667,129.4833,29.51,85,1,2.65,JP,1721395401
323,zouerate,22.7187,-12.4521,44.14,11,0,5.62,MR,1721395271
324,belyy yar,53.6039,91.3903,24.94,61,0,2.0,RU,1721395401
325,hamilton,39.1834,-84.5333,21.19,72,0,4.12,US,1721394941
326,baruun-urt,46.6806,113.2792,21.12,52,1,0.72,MN,1721395402
327,kapsabet,0.2039,35.105,22.75,79,79,1.42,KE,1721395402
328,robore,-18.3333,-59.75,23.05,60,0,2.57,BO,1721395402
329,haiku-pauwela,20.9219,-156.3051,22.36,87,40,4.63,US,1721395402
330,bath,51.3779,-2.3591,29.27,56,14,3.02,GB,1721395180
331,tadine,-21.55,167.8833,18.69,69,0,6.82,NC,1721395402
332,puerto baquerizo moreno,-0.9,-89.6,21.43,83,98,4.44,EC,1721395403
333,maitum,6.0392,124.4986,26.09,82,100,2.45,PH,1721395403
334,berdigestyakh,62.0989,126.6992,15.22,48,100,2.5,RU,1721395403
335,college,64.8569,-147.8028,9.39,88,20,2.06,US,1721395403
336,trincomalee,8.5711,81.2335,30.44,63,100,8.78,LK,1721395403
337,ta`u,-14.2336,-169.5144,26.11,71,100,8.28,AS,1721395404
338,la passe,45.5549,-0.8967,31.13,61,1,4.5,FR,1721395404
339,malabar,-33.9667,151.25,12.29,65,100,7.71,AU,1721395404
340,cold springs,39.6802,-119.9766,19.34,41,0,0.0,US,1721395404
341,byron bay,-28.65,153.6167,11.43,56,8,2.48,AU,1721395404
342,tobelo,1.7284,128.0095,26.71,84,52,4.86,ID,1721395405
343,tazovsky,67.4667,78.7,14.61,45,0,4.87,RU,1721395405
344,klyuchi,52.2667,79.1667,23.7,61,40,3.88,RU,1721395405
345,slavsk,55.0425,21.677,21.35,55,62,6.16,RU,1721395405
346,lompoc,34.6391,-120.4579,13.12,96,100,0.0,US,1721395405
347,nantucket,41.2835,-70.0995,23.08,69,0,6.17,US,1721395405
348,san lawrenz,36.0553,14.204,35.67,69,0,2.36,MT,1721395406
349,beloyarskiy,63.7119,66.6722,23.51,64,100,2.62,RU,1721395406
350,echuca,-36.1333,144.75,9.98,86,100,9.8,AU,1721395406
351,slavyanka,42.8633,131.3847,19.06,97,18,0.79,RU,1721395407
352,walvis bay,-22.9575,14.5053,20.53,56,0,4.63,NA,1721395407
353,la mira,18.035,-102.3266,25.85,70,99,1.47,MX,1721395407
354,mosjoen,65.836,13.1908,16.29,88,100,0.51,NO,1721395407
355,bardai,11.65,7.2333,27.11,67,100,3.31,NG,1721395407
356,horsham,51.064,-0.3272,31.12,52,0,4.12,GB,1721395408
357,posto fiscal rolim de moura,-13.0833,-62.2667,25.82,41,4,1.12,BR,1721395408
358,el calafate,-50.3408,-72.2768,0.88,76,100,2.57,AR,1721395408
359,illizi,26.4833,8.4667,41.89,5,0,8.74,DZ,1721395408
360,nuku'alofa,-21.1333,-175.2,23.19,94,75,4.63,TO,1721395334
361,san luis,-33.295,-66.3356,6.27,57,100,8.24,AR,1721395207
362,springs,-26.25,28.4,22.97,27,0,5.98,ZA,1721395409
